36,19
100,92
95,76
15,5
66,75
84,10
69,98
33,39
97,16
8,16
25,10
49,30
58,90
64,47
57,81
61,48
94,21
56,40
62,90
15,93
90,35
90,0
26,0
11,12
53,61
8,3
2,41
83,8
11,65
44,88
39,50
61,87
62,16
13,72
52,3
46,5
24,76
34,23
16,41
74,74
75,54
84,43
42,96
79,42
22,46
1,91
85,62
24,28
0,18
25,17
12,68
76,27
94,11
74,32
13,48
46,0
100,71
44,65
81,59
72,86
60,49
80,29
44,24
21,89
63,31
77,44
97,21
54,20
86,28
64,45
24,72
59,68
89,73
92,6
22,55
49,66
31,6
81,68
31,20
33,91
18,27
7,7
77,45
84,78
87,11
40,99
81,17
74,61
13,39
32,52
63,52
35,39
98,98
48,57
83,43
62,3
77,78
94,57
97,62
82,4
